id,frame,x [nm],y [nm],z [nm],centroid [nm]
1,1,4408.5,6097,-465,670
2,1,3487.8,4154.8,-435,670
3,1,7166,2456.2,-385,670
4,1,8459,6412.1,-345,670
5,1,5423,11568,-325,670
6,1,2653.1,5746.5,-315,670
7,1,5017.3,10295,-315,670
8,1,6320.8,11187,-305,670
9,1,8478.8,6842.2,-275,670
10,1,4237,7195,-255,670
11,1,3625.2,4788.9,-245,670
12,1,4340.7,12622,-245,670
13,1,7921.5,3269.9,-225,670
14,1,1645,9034.3,-225,670
15,1,5062.4,9305.7,-225,670
16,1,7288.1,9312.3,-215,670
17,1,6965.4,1755.5,-205,670
18,1,4310.3,6113.9,-205,670
19,1,7881.5,7030.7,-205,670
20,1,3540.9,1408.4,-195,670
21,1,3626,8105.3,-195,670
22,1,4617.4,10153,-195,670
23,1,6147.9,2205.4,-185,670
24,1,8626.2,5546.2,-185,670
25,1,4454.3,8886.6,-185,670
26,1,7563.5,9000.9,-185,670
27,1,5481.5,10349,-185,670
28,1,2154.1,10464,-185,670
29,1,2786.1,9489.1,-175,670
30,1,5743.4,10080,-175,670
31,1,1743.7,4996.8,-165,670
32,1,2562.2,7652.3,-165,670
33,1,2474.2,2410.1,-155,670
34,1,3971,4346.3,-155,670
35,1,1363.7,5817.3,-155,670
36,1,8014.4,8898.4,-155,670
37,1,2559,11658,-155,670
38,1,4578.9,11668,-155,670
39,1,3481.8,5373.2,-145,670
40,1,1898.9,6993.1,-145,670
41,1,4975.6,11164,-145,670
42,1,5866.3,4533,-135,670
43,1,1739.6,9950.8,-135,670
44,1,1745.8,3157.8,-125,670
45,1,2385.9,3925.7,-125,670
46,1,5755.3,7284.8,-125,670
47,1,5725.3,7668.1,-115,670
48,1,6778.6,1937.1,-105,670
49,1,7311.9,3117.4,-105,670
50,1,3372.4,7723.7,-105,670
51,1,4551.9,10295,-105,670
52,1,3124.5,2001.3,-95,670
53,1,5306.8,8880.9,-95,670
54,1,5641.8,2002.9,-85,670
55,1,2304.9,3324.8,-85,670
56,1,5474,6445.7,-85,670
57,1,5673.6,1953.9,-75,670
58,1,1618.7,4452,-75,670
59,1,2689.8,6561.9,-75,670
60,1,4204.7,9205.8,-75,670
61,1,2044.2,9832.4,-75,670
62,1,7213.8,3328.5,-65,670
63,1,1170.8,7273.4,-65,670
64,1,994.25,8075.9,-65,670
65,1,3352.4,9439.2,-55,670
66,1,7606.8,7458.2,-45,670
67,1,2278.3,3448.5,-35,670
68,1,771.83,6587.8,-35,670
69,1,6296.7,7492.5,-35,670
70,1,2191.3,8452,-35,670
71,1,1655.4,4455.2,-25,670
72,1,869.02,6155.5,-25,670
73,1,5829.8,2222.7,-15,670
74,1,7734.3,3073.7,-15,670
75,1,5217.5,5153.8,-15,670
76,1,4332.5,7631.3,-15,670
77,1,3746.7,11579,-15,670
78,1,4689.4,1234.3,-5,670
79,1,2569.2,6290,-5,670
