id,frame,x [nm],y [nm],z [nm],centroid [nm]
1,1,8756.7,5229.9,-505,670
2,1,6667.1,2189.5,-485,670
3,1,6050.8,2982,-455,670
4,1,7153.1,2254,-385,670
5,1,5629.9,1620.4,-375,670
6,1,6575.8,3649.2,-345,670
7,1,2935.3,9975.6,-345,670
8,1,2764.9,5495.8,-335,670
9,1,4468.2,4847.7,-305,670
10,1,6163.9,1940.5,-295,670
11,1,7962.2,4127.9,-295,670
12,1,8358.4,4704,-285,670
13,1,5185.4,5560.4,-285,670
14,1,966.93,8325.9,-285,670
15,1,1807.5,4796.6,-265,670
16,1,8611.1,5792.3,-255,670
17,1,983.27,5371.5,-245,670
18,1,621.16,6575.4,-245,670
19,1,1989.3,7434.2,-245,670
20,1,3404.4,10817,-245,670
21,1,8565.3,5205.1,-235,670
22,1,5042.9,7606.3,-225,670
23,1,5118.1,11788,-215,670
24,1,4182.9,12291,-215,670
25,1,6717.4,3493,-205,670
26,1,7842.3,7515.5,-205,670
27,1,5388.8,7653,-205,670
28,1,7814,8416.3,-205,670
29,1,2863.5,11938,-205,670
30,1,2723.7,3256.3,-195,670
31,1,3829.1,6690.1,-195,670
32,1,4449.2,9801.9,-195,670
33,1,976.15,5584.3,-175,670
34,1,6319,6748.2,-175,670
35,1,5301.7,6810.1,-165,670
36,1,5909.8,2068.3,-155,670
37,1,3765.8,2150.2,-155,670
38,1,3450.4,4541.6,-155,670
39,1,5455.5,5608.3,-155,670
40,1,1317.6,6512.1,-155,670
41,1,5067.1,10319,-155,670
42,1,4042.5,12211,-145,670
43,1,5769.3,911.41,-135,670
44,1,5789.1,1760.4,-135,670
45,1,7835.4,3211.9,-125,670
46,1,5229.2,4823,-125,670
47,1,4544.9,7654,-125,670
48,1,4980.6,9141.8,-125,670
49,1,8008.3,5155.4,-115,670
50,1,5695.7,6355.2,-115,670
51,1,8544.9,6451.5,-105,670
52,1,7074.2,10702,-105,670
53,1,3992.7,2239.5,-95,670
54,1,5706.1,4636.2,-95,670
55,1,6979.4,4767.7,-95,670
56,1,7439.3,2776.8,-85,670
57,1,3766,7185.1,-65,670
58,1,898.22,8217.1,-65,670
59,1,1792.7,9470.6,-65,670
60,1,6277,4243.6,-55,670
61,1,1774.1,7242.9,-55,670
62,1,3415.8,5134.6,-45,670
63,1,7957.2,8495,-45,670
64,1,7980.8,8723.7,-45,670
65,1,6050.9,10258,-45,670
66,1,7915.7,3217.3,-35,670
67,1,1238.4,5528.3,-35,670
68,1,3849.7,5602.4,-35,670
69,1,8021.9,8160.7,-35,670
70,1,2630.7,11206,-35,670
71,1,5581.8,11725,-35,670
72,1,8727.7,7192.7,-25,670
73,1,3221,1824.5,-15,670
74,1,2567.7,2769.8,-15,670
75,1,7184.7,4320.2,-15,670
76,1,7695.7,5147.4,-15,670
77,1,8245.8,5340.1,-15,670
78,1,4436.4,9025.9,-15,670
79,1,7355.7,10210,-15,670
80,1,6643.6,2203.1,-5,670
81,1,6991,9009.9,-5,670
82,1,1408.8,10019,-5,670
83,1,1818.5,10382,-5,670
84,1,6268.6,12043,5,670
85,1,3483.6,1498.1,15,670
86,1,3825.8,4472.5,15,670
87,1,8201.3,5742.7,15,670
88,1,6076.3,9491.2,15,670
89,1,2131.1,10175,15,670
90,1,7462.5,3438.2,25,670
91,1,8402.9,4588.5,25,670
92,1,6510.2,2994,35,670
93,1,2283,3153.7,35,670
94,1,4540.5,5173.8,35,670
95,1,5326.5,6588.5,35,670
96,1,7423.5,10520,35,670
97,1,2333.5,11562,35,670
98,1,4268,918.62,45,670
99,1,6621.2,1285.3,55,670
100,1,7333.6,3150.5,55,670
101,1,5692.3,4951.2,55,670
102,1,7968.8,6418.3,55,670
103,1,7084.8,10977,65,670
104,1,2494.8,2428.3,75,670
105,1,6303.8,2773.9,75,670
106,1,1830.9,10615,75,670
107,1,3160.9,6510.2,85,670
108,1,2790.6,7503.8,85,670
109,1,5477,8116,85,670
110,1,1508.6,9067.4,85,670
111,1,4523.1,10014,85,670
112,1,5309.1,6223,95,670
113,1,6080.4,8695.8,95,670
114,1,8024.9,9011,95,670
115,1,2216.9,9429.7,95,670
116,1,5023.2,12869,95,670
117,1,4137.3,1071.2,105,670
118,1,5343.2,1118.8,105,670
119,1,2953.2,2827,105,670
120,1,6330.4,1569.3,115,670
121,1,6537.4,8835.6,115,670
122,1,2924.1,9280.4,115,670
123,1,5704.2,10937,115,670
124,1,6277.8,3126.3,125,670
125,1,7716.6,4062.5,125,670
126,1,7252.6,4796,125,670
127,1,7825.3,9917.3,135,670
128,1,1923.1,11325,135,670
129,1,4540.5,9032.2,155,670
130,1,5129.6,9652.7,155,670
131,1,4428.8,5523.1,165,670
132,1,1004.7,5656.9,165,670
133,1,8396.7,6612.5,165,670
134,1,2035.9,7079.2,165,670
135,1,4758,10719,165,670
136,1,4501.7,10952,165,670
137,1,2956.7,4809.7,175,670
138,1,2467.1,6345.7,175,670
139,1,3787.7,12877,195,670
140,1,1335.8,5476.7,205,670
141,1,3004.1,5494.4,205,670
142,1,5960.3,2415.3,215,670
143,1,1950.9,4394.4,215,670
144,1,2603.2,3744.3,225,670
145,1,3128.6,11774,225,670
146,1,6782.9,3548,235,670
147,1,6646.2,11805,235,670
148,1,7792.5,2709.1,245,670
149,1,1685.2,4245.5,245,670
150,1,2441,5768.8,245,670
151,1,4748.8,1669.7,255,670
152,1,5504.5,3181.4,255,670
153,1,1369.8,9827.5,255,670
154,1,4631.2,554.99,265,670
155,1,1135.8,5888.6,265,670
156,1,3207.3,2915.2,275,670
157,1,5229.1,9878.7,275,670
158,1,5406,12800,275,670
159,1,4174.9,7372.1,285,670
160,1,5165.4,12276,285,670
161,1,5124.8,3291,295,670
162,1,5671.6,6003,295,670
163,1,4548.2,13116,295,670
