id,frame,x [nm],y [nm],z [nm],centroid [nm]
1,1,1852.5,8600,-435,670
2,1,3462.1,12072,-425,670
3,1,6384.7,1406,-405,670
4,1,4203.9,719.76,-385,670
5,1,1839.6,4375.8,-365,670
6,1,5632.6,10265,-365,670
7,1,5582.1,2132.7,-355,670
8,1,5758.7,3333.4,-335,670
9,1,1808.7,6919.8,-325,670
10,1,3986.9,11297,-325,670
11,1,5852.5,8512.3,-315,670
12,1,6852.9,9336,-315,670
13,1,3514.3,1725,-275,670
14,1,4348,5048.9,-275,670
15,1,1322.6,4944.8,-255,670
16,1,3493.5,8297.5,-255,670
17,1,2955.9,8849.2,-255,670
18,1,2409.8,2334.1,-245,670
19,1,4495.2,7458.8,-245,670
20,1,5582.3,11779,-245,670
21,1,1273.1,4988.6,-235,670
22,1,4534.2,7930.8,-235,670
23,1,5000.9,1044.3,-225,670
24,1,8306.5,5567.2,-225,670
25,1,4602.3,6047.7,-225,670
26,1,1259.9,8949.1,-225,670
27,1,6145.6,9773.2,-225,670
28,1,1067.4,5152.3,-215,670
29,1,6523.5,10504,-215,670
30,1,5753.2,8099.1,-205,670
31,1,1117.1,3942.6,-195,670
32,1,2593.4,11288,-195,670
33,1,3425,11038,-185,670
34,1,3806.2,2794.3,-175,670
35,1,2281.7,3127.2,-165,670
36,1,6423.7,1569.2,-155,670
37,1,3606.8,5876.1,-155,670
38,1,7675.7,7264.5,-155,670
39,1,1221.8,9192.9,-155,670
40,1,2718.7,10924,-155,670
41,1,5001.8,3745.5,-145,670
42,1,8410.9,4638.5,-145,670
43,1,6860.2,8459.2,-145,670
44,1,6848.6,9777.8,-145,670
45,1,4732.1,9573.4,-135,670
46,1,2636.7,11155,-135,670
47,1,5638.8,1146.1,-125,670
48,1,4794.6,5114.7,-125,670
49,1,7675.4,5278.8,-125,670
50,1,4537.1,1664.5,-115,670
51,1,5769.5,3038.5,-115,670
52,1,4696.7,7695.6,-115,670
53,1,5041.6,12342,-115,670
54,1,4427,3053.9,-105,670
55,1,5790,3145,-105,670
56,1,1731.3,8483.3,-105,670
57,1,2044.9,9218.4,-105,670
58,1,3098,10638,-105,670
59,1,3490.5,1183.1,-95,670
60,1,6614.2,1379.3,-95,670
61,1,7579.4,3836,-95,670
62,1,7616.7,4333.6,-95,670
63,1,4052.2,7175,-95,670
64,1,2840,1649.7,-85,670
65,1,4860,5208,-85,670
66,1,3735.9,5326.7,-75,670
67,1,8394.9,6818.1,-75,670
68,1,5703,1239.3,-65,670
69,1,5283.2,1391.5,-65,670
70,1,5169,10130,-65,670
71,1,4907.9,10145,-65,670
72,1,5089.6,11517,-65,670
73,1,8069.7,6510.4,-55,670
74,1,4702.4,1155.2,-45,670
75,1,2839,5750.8,-45,670
76,1,1935.2,10590,-45,670
77,1,1830.2,3503.4,-35,670
78,1,1632,9189.9,-35,670
79,1,4559,12743,-35,670
80,1,5298.3,1033.4,-25,670
81,1,7687.8,5441,-25,670
82,1,5089,5947.6,-25,670
83,1,6564.2,6443,-25,670
84,1,3440.1,1769.6,-15,670
85,1,3828.4,4565.4,-15,670
86,1,1696.4,9425.7,-15,670
87,1,2960.8,10287,-15,670
88,1,5883.9,11008,-15,670
89,1,4866,4060.4,-5,670
90,1,4771.6,5519,-5,670
91,1,1054.8,6419.3,-5,670
92,1,6577.8,8291.4,-5,670
93,1,3380.8,9694.1,-5,670
94,1,5595.4,12814,-5,670
95,1,7643.8,2982.1,5,670
96,1,2270.2,8016.2,5,670
97,1,3427.8,12019,5,670
98,1,6168.7,12154,5,670
99,1,3419.3,12460,5,670
100,1,4629.6,629.28,15,670
101,1,5072.4,3321.8,15,670
102,1,3909.8,3373,15,670
103,1,6932.6,4418.3,15,670
104,1,8441.3,4697.3,15,670
105,1,5161.2,5509.3,15,670
106,1,5909.5,12259,15,670
107,1,6728,9654.8,25,670
108,1,3292,9705,25,670
109,1,3114,2092.8,35,670
110,1,3496.8,2217.8,35,670
111,1,6711.4,2254.1,35,670
112,1,2207.4,3385.4,35,670
113,1,6050,9875.1,35,670
114,1,7042.8,10319,35,670
115,1,5971.8,1906.3,45,670
116,1,4786.6,6416.7,45,670
117,1,5895.7,6688.3,45,670
118,1,7508.5,3795.4,55,670
119,1,3456,4470.1,55,670
120,1,5357.6,5751.8,55,670
121,1,3394.1,9316.9,55,670
122,1,3650.3,12503,55,670
123,1,5254.3,5422.6,65,670
124,1,7883.6,8375.8,65,670
125,1,2598.7,9931.9,65,670
126,1,5735.7,1342.8,75,670
127,1,6781.1,2170.9,75,670
128,1,2400.7,2665.9,75,670
129,1,6201.3,2986.1,75,670
130,1,8466.7,4721.2,75,670
131,1,8429.8,6205.7,75,670
132,1,4934.9,10215,75,670
133,1,6328.8,10409,75,670
134,1,4495.3,1571.1,85,670
135,1,5406.9,6361.4,85,670
136,1,4713.8,4457.3,95,670
137,1,6125.2,4637.2,95,670
138,1,2125.9,7942.2,95,670
139,1,4310.2,11531,95,670
140,1,5389,12726,95,670
141,1,6502.3,1462.1,105,670
142,1,5378.9,7230.8,105,670
143,1,2411.6,7607.2,105,670
144,1,1098.4,8717.8,105,670
145,1,1654.3,9555.4,105,670
146,1,6831.1,11112,105,670
147,1,2673.3,7188.6,115,670
148,1,632.9,7377.2,115,670
149,1,1029.9,8258.8,115,670
150,1,3777.3,2296.3,135,670
151,1,3435.1,3721.7,135,670
152,1,3438.2,12359,135,670
153,1,2162.4,4013.3,145,670
154,1,1476.5,6438.4,145,670
155,1,5904.3,12301,155,670
156,1,3954,3781.2,165,670
157,1,7086.3,5009.9,165,670
158,1,6895,7054.3,165,670
159,1,3117.7,8981.1,165,670
160,1,2615.8,3005.6,175,670
161,1,7204,3598.7,185,670
162,1,4145.8,9292.1,185,670
163,1,4488.3,3168.6,195,670
164,1,7614,3583.9,195,670
165,1,6733.4,3914.1,195,670
166,1,2076.6,4507.8,195,670
167,1,4833.4,5035.6,205,670
168,1,7953.1,9164.2,205,670
169,1,4118.9,9252.4,205,670
170,1,5125.6,11900,205,670
171,1,4410.2,12827,205,670
172,1,1959.3,8632.7,215,670
173,1,1773.1,7730.7,225,670
174,1,5805.9,984.53,235,670
175,1,4800.7,3571.7,235,670
176,1,3281.7,2299,245,670
177,1,6699,7085.8,245,670
178,1,1417.2,7399.6,245,670
179,1,5445.7,4190.3,255,670
180,1,1331.5,5906.4,255,670
181,1,5702.9,7850.6,255,670
182,1,3649.1,10775,255,670
183,1,6508.7,11623,255,670
184,1,4442.7,11608,265,670
185,1,5918.7,11365,275,670
186,1,4954,1211.3,295,670
187,1,2318.8,11757,305,670
188,1,6102.9,1373.7,315,670
189,1,5892.7,2671.2,315,670
190,1,7956,6551.8,335,670
191,1,1283.3,8813.7,345,670
192,1,7289.7,3001.4,355,670
193,1,6904.7,12003,365,670
194,1,3769.6,12253,365,670
195,1,2581.1,6994.1,385,670
196,1,8273.1,8819.6,385,670
197,1,3383.7,5799.5,405,670
198,1,8214.5,5924,425,670
199,1,8074.5,6542.6,435,670
200,1,7611.8,10821,435,670
201,1,5934.9,9975.9,445,670
202,1,3707.6,6218.9,455,670
203,1,4536.3,11539,455,670
204,1,6727.4,12168,455,670
205,1,2583.5,6882,465,670
206,1,7350.3,11203,475,670
207,1,1757.5,7148.8,485,670
208,1,1852.8,8587.9,-247.21,670
209,1,1826.9,8596.2,-321.06,670
210,1,1825.5,8616.4,-269.35,670
211,1,1840.1,8568.1,-248.66,670
212,1,1813.3,8589.7,-585.26,670
213,1,1857.3,8650.8,-256.78,670
214,1,1838.6,8654,-609.27,670
215,1,1885.8,8643.5,-263.93,670
216,1,1816,8637.7,-662.56,670
217,1,1825.2,8557.3,-183.31,670
218,1,1898.1,8622.6,-630.82,670
219,1,1794.9,8607.9,-192.21,670
220,1,1811.7,8632.9,-259.66,670
221,1,1796.4,8623.4,-568.8,670
222,1,1891.1,8668.9,-693.69,670
223,1,1886.7,8669.4,-678.4,670
224,1,1815.4,8662.5,-687.54,670
225,1,1774.5,8602.1,-205.36,670
226,1,1861.4,8675.4,-198.35,670
227,1,1815.9,8661,-667.65,670
228,1,1931.6,8561.4,-267.33,670
229,1,1939.5,8588,-604.02,670
230,1,1764.2,8627.9,-823.33,670
231,1,1940.3,8550,-624.52,670
232,1,1768.7,8535.5,-632.92,670
233,1,1747.7,8561.1,-278.91,670
234,1,1816.2,8480.3,-317.5,670
235,1,1814.5,8729.1,-136.78,670
236,1,1792.8,8483.2,-129.36,670
237,1,1849.5,8731.6,-769.98,670
238,1,1915.1,8715.1,-748.96,670
239,1,1908,8475,-736.75,670
240,1,1722,8582.4,-748.09,670
241,1,1776.7,8486.4,-101.33,670
242,1,1719,8599.8,-748.29,670
243,1,1735.7,8681.1,-516.47,670
244,1,1760.8,8729.4,-360.47,670
245,1,2005.2,8612.4,-357.66,670
246,1,1993.2,8669,-360.22,670
247,1,1701.7,8675.3,-201.73,670
248,1,1806.1,8440.7,-688.37,670
249,1,1819,8441.7,-682.89,670
250,1,1694.4,8558.7,-690.3,670
251,1,1740.6,8717.7,-669.56,670
252,1,1820.3,8433.4,-695.8,670
253,1,1856.7,8434.5,-197.8,670
254,1,1692.7,8546.2,-175.41,670
255,1,1892.8,8441.9,-688.1,670
256,1,1934.1,8459,-690.77,670
257,1,1962.2,8722.5,-686.84,670
258,1,1826.4,8436.3,-192.62,670
259,1,1733.2,8716.7,-181.36,670
260,1,1855.1,8430.4,-185.22,670
261,1,1699.1,8656.3,-669.28,670
262,1,1709.2,8527.3,-677.42,670
263,1,2012.1,8573.7,-678.33,670
264,1,1904.2,8758.3,-674.58,670
265,1,2013.8,8557.9,-192.36,670
266,1,1957.5,8472.8,-174.03,670
267,1,1855.4,8763.2,-189.06,670
268,1,1991.8,8687.4,-178.35,670
269,1,1912.5,8753.9,-174.72,670
270,1,2007.9,8548.5,-688.5,670
271,1,1975,8705.9,-684.13,670
272,1,2013.5,8576.8,-198.5,670
273,1,1691.5,8674.9,-287.19,670
274,1,1845.6,8428,-574.24,670
275,1,1700.2,8510.7,-284.77,670
276,1,1801.3,8436.3,-579.14,670
277,1,1937.4,8443,-281.77,670
278,1,1741.7,8448.3,-614.24,670
279,1,1746.2,8453.8,-612.01,670
280,1,1726.9,8740.3,-255.45,670
281,1,1665,8595.8,-623.79,670
282,1,1689.6,8689.7,-253.81,670
283,1,1672,8559.4,-610.92,670
284,1,1983.8,8728.5,-251.55,670
285,1,2031.7,8567.3,-617.37,670
286,1,1769,8432.2,-250.99,670
287,1,1831.6,8413,-255.11,670
288,1,2030.5,8539.8,-251.04,670
