id,frame,x [nm],y [nm],z [nm],centroid [nm]
1,1,8282.3,4118.2,-455,670
2,1,3974.7,995.42,-405,670
3,1,3924,1321,-395,670
4,1,7556.3,3945.3,-355,670
5,1,5863.3,8993.2,-355,670
6,1,7630.4,9896.8,-355,670
7,1,4876.8,11828,-355,670
8,1,5604,4232.3,-345,670
9,1,6452.7,2891.1,-305,670
10,1,7326.8,2496.4,-295,670
11,1,5394.4,5759.7,-295,670
12,1,5215.2,10513,-295,670
13,1,3133.4,2462.2,-275,670
14,1,4455.4,10373,-275,670
15,1,6295.6,11070,-275,670
16,1,4233.6,4814.5,-265,670
17,1,7428.1,2671.7,-255,670
18,1,1529.1,4084.5,-255,670
19,1,5892.4,9454.5,-255,670
20,1,5359.7,1497.6,-245,670
21,1,4603.4,5399.9,-245,670
22,1,8737.1,6106.1,-235,670
23,1,3068.6,6999.1,-235,670
24,1,7594.5,7719.5,-235,670
25,1,3009.1,10901,-235,670
26,1,2953.4,11507,-235,670
27,1,5752.2,11586,-235,670
28,1,7592.3,5468.6,-225,670
29,1,6093.7,9128.1,-225,670
30,1,7672.3,9556.2,-225,670
31,1,6395,3888,-205,670
32,1,1292.5,4342.1,-205,670
33,1,2426.9,9609.1,-195,670
34,1,5766.9,10303,-195,670
35,1,3257.1,10672,-195,670
36,1,1465.4,7132.1,-185,670
37,1,7916.3,4807.8,-175,670
38,1,6275.9,11877,-175,670
39,1,3882.6,2440.4,-165,670
40,1,867.84,4725.1,-165,670
41,1,8578.4,6105.3,-165,670
42,1,724.63,6815.5,-165,670
43,1,6538.2,7023.4,-165,670
44,1,3767.2,11633,-165,670
45,1,6089.5,1141.5,-155,670
46,1,1398,8675.8,-155,670
47,1,8469.2,4814.1,-145,670
48,1,7838.7,6565.7,-145,670
49,1,6361.8,1447.2,-135,670
50,1,3755.9,4234.4,-135,670
51,1,1474.7,6777.5,-135,670
52,1,2315.9,3880.5,-125,670
53,1,942.68,4690.1,-125,670
